obs;Rating;Kills;Assists;Deaths;KAST;ADR;Impact;Age
1;1.45;27;6;18;0.86;90.4;1.45;26
2;1.23;21;13;17;0.8;75.1;1.26;26
3;0.83;16;4;23;0.63;63.5;0.9;17
4;0.83;19;12;20;0.63;58.3;0.72;25
5;0.73;13;7;19;0.6;49.3;0.5;26
6;1.2;23;5;20;0.73;86.8;1.11;25
7;1.19;23;4;19;0.7;79;1.23;23
8;1.12;22;10;17;0.73;77.7;0.85;19
9;0.83;13;12;22;0.76;66.3;0.52;25
10;0.83;13;4;19;0.6;61.9;0.59;16
11;1.35;26;5;19;0.76;92.4;1.56;17
12;1.2;21;9;20;0.83;82.2;1.21;26
13;1.01;19;7;20;0.76;79.3;0.81;26
14;0.72;15;6;22;0.72;48.4;0.43;26
15;0.69;15;7;25;0.55;61.7;0.81;25
16;1.28;27;10;22;0.79;89.9;1.48;23
17;1.17;21;7;18;0.83;79.2;0.96;19
18;1.16;19;8;20;0.76;88.2;1.03;16
19;1.11;20;6;17;0.79;61.7;1;25
20;1.06;19;3;19;0.76;65.7;0.95;25
21;1.05;19;3;19;0.67;84;1.1;21
22;0.97;15;2;17;0.71;67.6;0.95;21
23;0.93;15;2;16;0.67;64.7;0.8;22
24;0.86;15;3;18;0.67;77.2;0.56;20
25;0.52;7;2;17;0.58;49.3;0.15;23
26;1.47;21;6;14;0.79;90.3;1.69;17
27;1.41;19;4;11;0.87;80.3;1.11;19
28;1.19;17;4;16;0.75;77.8;1.27;27
29;0.99;14;3;13;0.67;63.8;0.78;30
30;0.91;16;4;17;0.62;61.2;0.91;28
31;1.42;30;4;20;0.7;104.2;1.65;21
32;1.24;23;7;19;0.83;74.6;1.26;22
33;1.21;24;10;22;0.77;98.6;1.07;20
34;1.1;22;11;19;0.63;78.1;1.25;21
35;0.71;12;2;20;0.67;44.6;0.32;23
36;1.3;29;5;22;0.7;91.3;1.47;19
37;1.09;20;6;22;0.7;75.4;1.22;17
38;0.99;21;5;20;0.67;68.2;0.83;28
39;0.91;18;4;24;0.63;81.2;0.77;30
40;0.73;12;11;23;0.63;60.4;0.74;27
41;1.51;21;5;15;0.76;97.8;1.71;21
42;1.39;19;9;14;0.8;95.5;1.46;21
43;1.16;17;3;14;0.72;75.6;1.22;22
44;1.15;21;4;15;0.84;68;0.9;20
45;1.04;17;5;15;0.72;60.1;1.05;23
46;1.17;17;6;16;0.8;67.5;1.25;30
47;1.1;19;9;18;0.64;84.7;1.1;19
48;0.76;13;9;20;0.52;49.3;0.98;28
49;0.73;14;3;20;0.6;59.3;0.54;17
50;0.63;10;3;21;0.64;49.1;0.42;27
51;0.94;23;4;23;0.62;68.2;1.01;26
52;0.86;21;9;27;0.62;72.2;0.9;26
53;0.85;17;3;22;0.59;58.5;0.81;17
54;0.82;19;6;26;0.5;73.6;0.92;26
55;0.81;19;7;27;0.62;67.6;0.74;25
56;1.39;27;5;17;0.73;91.5;1.49;24
57;1.33;31;3;20;0.73;83.5;1.44;21
58;1.2;28;6;20;0.65;84.6;1.35;28
59;0.96;20;7;23;0.73;70.6;0.8;26
60;0.95;19;8;19;0.7;61.7;0.77;21
61;1.49;25;12;22;0.83;123.6;1.54;26
62;1.12;23;3;19;0.77;66.6;1;26
63;1.08;18;5;16;0.77;63.3;0.91;25
64;0.93;16;4;20;0.7;59.7;1.1;26
65;0.82;16;3;18;0.73;54.9;0.12;17
66;1.31;22;4;15;0.8;85.2;0.9;21
